MonthHigh,Low,Rain
January58,38,4 
February65,42,4 
March74,48,4 
April83,55,2 
May93,63,1
June104,73,1
July107,77,3 
August103,75,4 
September96,68,3 
October83,58,2 
November69,46,2 
December58,39,3
