MonthHigh,Low,Rain
January37,27,18 
February41,28,14
March45,30,6
April49,33,15 
March54,38,14 
June58,44,12 
July61,48,14 
August6,49,15 
September59,44,17 
October51,39,22 
November42,21,18 
December38,29,19
