MonthHigh,Low,Rain
January-7,-23,5
February4,-16,5
March15,-14,5
April36,9,4
May54,29,5
June67,41,6
July67,43,8
August60,38,10
September45,27,9
October26,12,8
November2,-12,5
December-3,-18,6
