MonthHigh,Low,Rain
January48,28,7
February53,30,7
March58,33,9
April65,37,6
May73,44,3
June82,50,1
July90,56,1
August90,55,0
September84,50,2
October72,41,3
November57,32,5
December48,27,7




