MonthHigh,Low,Rain
January68,49,14 
February67,49,13 
March67,50,19 
April68,51,22 
May69,53,20 
June71,54,17 
July72,55,19 
August73,55,17 
September73,55,16 
October72,55,18 
November70,53,17 
December68,51,17
