MonthHigh,Low,Rain
January50,29,6 
February55,32,7 
March64,40,8 
April73,48,7 
May80,58,9 
June88,66,7 
July93,69,7 
August92,68,6 
September85,61,6 
October75,50,6 
November62,40,7 
December53,32,7 
