MonthHigh,Low,Rain
January61,44,7 
February61,43,7 
March61,44,9 
April61,44,9 
May64,46,6 
June66,48,5 
July67,49,7 
August67,49,6 
September66,48,7 
October65,48,7 
November64,47,8 
December62,45,8
