MonthHigh,Low,Rain
January35,11,2 
February40,16,2 
March49,24,3 
April57,29,4 
May67,38,4 
June78,47,3 
July82,52,7 
August79,50,7 
September73,44,4 
October61,33,3 
November47,22,2 
December36,12,2
