MonthHigh,Low,Rain
January37,20,10 
February40,23,10 
March47,28,10 
April57,37,10 
May64,45,11 
June69,53,13 
July71,55,14 
August70,55,11 
September66,50,9 
October57,40,8 
November48,30,8 
December41,25,10
