MonthHigh,Low,Rain
January40,17,8
February42,19,8
March46,22,8
April51,26,6
May59,33,4
June69,40,1
July77,46,1
August76,45,1
September70,39,2
October59,31,3
November47,24,5
December39,18,6


