MonthHigh,Low,Rain
January16,-6,4
February20,-5,3
March35,12,4
April50,27,6
May62,38,9
June71,49,10
July75,54,8
August74,53,8
September65,44,9
October51,32,8
November35,19,6
December20,2,5
