MonthHigh,Low,Rain
January2,-12,4
February8,-8,4
March13,-7,4
April33,11,5
May52,31,5
June67,46,6
July68,49,11
August60,43,6
September48,33,5
October28,16,3
November9,-3,3
December4,-9,4
