MonthHigh,Low,Rain
January30,17,19 
February32,14,16 
March39,20,18 
April47,26,16 
May55,34,14 
June61,39,13 
July70,45,8 
August70,45,7 
September60,38,9 
October46,30,13 
November33,21,19 
December27,14,19
