MonthHigh,Low,Rain
January25,0,12 
February30,2,10 
March39,11,10 
April47,20,9 
May57,29,9 
June68,36,7 
July77,41,5 
August76,39,6 
September66,32,6 
October52,24,7 
November35,14,11 
December25,3,12
