MonthHigh,Low,Rain
January-5,-16,7
February-6,-16,6
March-5,-15,5
April6,-5,3
May16,6,6
June23,13,10
July27,17,13
August23,15,12
September16,8,11
October6,-2,9,
November-5,-15,7
December-4,-14,8
