MonthHigh,Low,Rain
January40,14,2
February41,16,3
March51,23,4
April58,31,7
May67,41,9
June77,50,8
July85,56,7
August84,55,6
September77,46,4
October62,34,4
November49,23,2
December39,15,2


