MonthHigh,Low,Rain
January42,25,8
February45,26,6
March53,33,7
April66,43,8
May72,53,9
June80,62,8
July84,66,8
August83,65,7
September77,58,6
October66,47,6
November56,36,6
December46,29,7


