Month,High,Low,Rain
January,67,40,1 
February,74,46,1 
March,82,55,1 
April,90,62,0 
May,100,72,0 
June,110,82,0 
July,116,88,0 
August,114,86,0 
September,107,76,0 
October,93,62,0 
November,77,48,0 
December,65,39,0 
