Month,High,Low,Rain
January,37,20,2
February,43,24,2
March,53,32,2
April,60,36,2
May,68,45,3
June,84,57,1
July,86,62,6
August,83,59,5
September,76,52,3
October,61,40,2
November,48,29,1
December,36,20,2
