Month,High,Low,Rain
January,52,29,1
February,56,32,1
March,63,39,1
April,71,46,1
May,79,54,3
June,87,61,3
July,87,63,4
August,85,62,5
September,78,56,5
October,70,48,3
November,60,38,2
December,53,31,1
