Month,High,Low,Rain
January,35,17,1
February,36,17,2 
March,47,26,3 
April,57,35,8 
May,66,45,9 
June,78,56,9 
July,87,64,6 
August,85,61,6 
September,76,52,4 
October,60,40,5 
November,47,28,2 
December,34,17,2 
