Month,High,Low,Rain
January,56,33,7
February59,35,6
March,68,44,7
April,75,50,5
May,81,59,8
June,89,68,9
July,91,71,9
Augut,91,71,9
eptember,85,65,5
October,75,52,6
November,67,41,4
December,58,34,6
