Month,High,Low,Rain
January,35,22,8 
February,37,24,7 
March,48,32,9 
April,60,42,10 
May,71,52,9 
June,80,61,9 
July,83,65,7 
August,82,64,7 
September,74,57,7 
October,62,46,7 
November,50,37,9 
December,39,27,9 
