Month,High,Low,Rain
January,40,18,2 
February,49,25,2 
March,60,34,3 
Apri,69,40,3 
May,79,49,3 
June,92,59,1 day
July,97,66,3 
August,94,64,3 
September,85,54,3 
October,71,41,3 
November,55,29,2 
December,41,20,2 
