Month,High,Low,Rain
January,40,24,2
February,47,29,2
March,57,36,3
April,65,42,3
May,76,52,3
June,88,64,1 day
July,94,69,4
August,91,67,3
September,82,59,3
October,68,46,4
November,52,35,3
December,41,25,2
