Month,High,Low,Rain
January38,23,16 
February38,22,15 
March42,24,19 
April46,26,16 
May55,32,10 
June62,36,6 
July73,44,1 
Augut71,42,2 
eptember64,38,4 
October52,32,10 
November41,26,17 
December36,22,18 
