Month,High, Low,Rain
January,29,10,9 
February,31,13,7 
March,38,20,9 
April,50,31,9 
May,61,40,10 
June,71,49,8 
July,76,55,7 
August,75,55,6 
September,67,48,7 
October,55,38,9 
November,45,29,9 
December,34,17,10 
