Month,High,Low,Rain
January,65,57,4 
February,66,59,4 
March,71,64,3 
April,74,68,3 
May,79,73,7 
June,83,76,11 
July,84,78,9 
August,85,78,10 
September,83,77,12 
October,79,74,9 
November,72,67,7 
December,68,62,3 
