,Year,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEPT,OCT,NOV,DEC,Total,park_code
410,1993,26182,25205.0,54643.0,45573.0,26348.0,24032.0,18426.0,15839.0,18372.0,21299.0,31317.0,20671.0,327907,BIBE
411,1992,23838,25624.0,35180.0,46568.0,28153.0,21756.0,18954.0,16611.0,12824.0,22492.0,23412.0,19123.0,294535,BIBE
412,1991,17977,22600.0,40896.0,53221.0,24502.0,23287.0,15938.0,21048.0,13096.0,20709.0,24073.0,19123.0,296470,BIBE
413,1990,16452,19836.0,39005.0,32422.0,16292.0,18026.0,12267.0,6255.0,16539.0,24827.0,23786.0,31671.0,257378,BIBE
414,1989,15999,24554.0,38906.0,35090.0,18780.0,21350.0,22965.0,12777.0,16539.0,24827.0,28475.0,21466.0,281728,BIBE
415,1988,7488,11925.0,35212.0,36714.0,23661.0,22719.0,17217.0,15373.0,15799.0,17243.0,22089.0,14155.0,239595,BIBE
416,1987,15723,19487.0,30745.0,31975.0,27676.0,21198.0,13397.0,11640.0,10020.0,17159.0,18394.0,10507.0,227921,BIBE
417,1986,11279,13792.0,30013.0,32280.0,18883.0,17504.0,13629.0,11578.0,11085.0,12262.0,14338.0,13979.0,200622,BIBE
418,1985,11530,12586.0,27573.0,28268.0,16351.0,15597.0,10093.0,11927.0,11109.0,14360.0,15559.0,13092.0,188045,BIBE
419,1984,9320,14211.0,31219.0,24484.0,13477.0,13121.0,9465.0,10769.0,7683.0,9323.0,14548.0,10045.0,167665,BIBE
420,1983,10415,10141.0,20173.0,20457.0,15563.0,14586.0,14103.0,11294.0,10003.0,12502.0,16490.0,9199.0,164926,BIBE
421,1982,13518,12016.0,24188.0,25565.0,16900.0,16763.0,12623.0,12969.0,9395.0,13289.0,13937.0,8981.0,180144,BIBE
422,1981,12816,9092.0,25057.0,24094.0,17269.0,13084.0,12463.0,11407.0,10222.0,8615.0,12290.0,10923.0,167332,BIBE
423,1980,23095,14945.0,30237.0,25430.0,14458.0,11467.0,8574.0,9197.0,9309.0,10343.0,9999.0,6954.0,174008,BIBE
424,1979,22294,16796.0,45669.0,44866.0,18691.0,28633.0,15990.0,18432.0,19056.0,16633.0,26879.0,9002.0,282941,BIBE
425,2019,50873,59754.0,76685.0,64172.0,79779.0,65173.0,60239.0,46191.0,46723.0,38583.0,59948.0,60403.0,708523,BISC
426,2018,27638,32586.0,49114.0,53080.0,22249.0,52446.0,54859.0,46332.0,37170.0,29135.0,29512.0,35132.0,469253,BISC
427,2017,30661,34689.0,36433.0,41287.0,55595.0,46085.0,65142.0,41633.0,6230.0,19456.0,34442.0,35308.0,446961,BISC
428,2016,35755,30663.0,43331.0,50964.0,61050.0,43964.0,70830.0,46961.0,44645.0,24114.0,33694.0,28738.0,514709,BISC
429,2015,34409,29061.0,49590.0,54897.0,57450.0,51499.0,59061.0,53480.0,40551.0,27634.0,25228.0,25304.0,508164,BISC
430,2014,30437,41173.0,40131.0,46774.0,49710.0,58909.0,60348.0,62131.0,34694.0,44810.0,23545.0,33083.0,525745,BISC
431,2013,33790,29960.0,38524.0,40016.0,54354.0,55272.0,48572.0,61031.0,42389.0,36185.0,22189.0,24566.0,486848,BISC
432,2012,29877,28749.0,46277.0,44910.0,53922.0,49160.0,65594.0,46782.0,38956.0,32782.0,28447.0,30157.0,495613,BISC
433,2011,26961,29136.0,40109.0,48625.0,57222.0,46740.0,71509.0,48281.0,31260.0,28514.0,21045.0,26675.0,476077,BISC
434,2010,17535,18381.0,29620.0,46593.0,60484.0,61808.0,59771.0,54211.0,32666.0,43032.0,23102.0,20409.0,467612,BISC
435,2009,34397,24041.0,24164.0,33513.0,55053.0,53902.0,60824.0,46295.0,18937.0,35030.0,26938.0,24651.0,437745,BISC
436,2008,23086,38107.0,41725.0,49551.0,55351.0,48754.0,75299.0,45413.0,31468.0,113151.0,96736.0,67421.0,686062,BISC
437,2007,44672,34284.0,45363.0,45652.0,40736.0,52932.0,62126.0,52222.0,41955.0,31017.0,32998.0,33485.0,517442,BISC
438,2006,41208,34520.0,39131.0,50254.0,50464.0,65065.0,83212.0,47226.0,34903.0,97418.0,31227.0,34208.0,608836,BISC
439,2005,36890,29993.0,35935.0,49550.0,50283.0,61005.0,87592.0,45859.0,26186.0,75962.0,26160.0,38313.0,563728,BISC
440,2004,46072,25368.0,35138.0,40813.0,50978.0,61395.0,68247.0,43648.0,17178.0,40851.0,24255.0,24361.0,478304,BISC
441,2003,31919,36473.0,44155.0,42650.0,53018.0,30740.0,60014.0,56524.0,33197.0,56771.0,21475.0,23095.0,490031,BISC
442,2002,45528,29567.0,54809.0,48710.0,44350.0,47671.0,55980.0,55421.0,40744.0,53163.0,19746.0,17708.0,513397,BISC
443,2001,31930,38786.0,43878.0,47563.0,50885.0,52035.0,55535.0,52212.0,37339.0,33867.0,25961.0,19352.0,489343,BISC
444,2000,26450,26634.0,39703.0,36771.0,45631.0,32702.0,44738.0,32282.0,32001.0,31078.0,23323.0,21838.0,393151,BISC
445,1999,26888,34378.0,39948.0,46913.0,42804.0,31061.0,70367.0,46261.0,31701.0,37633.0,14590.0,20041.0,442585,BISC
446,1998,24132,18346.0,19583.0,27942.0,62611.0,48151.0,54320.0,46566.0,22452.0,32108.0,28511.0,18517.0,403239,BISC
447,1997,21775,24820.0,34216.0,26050.0,42226.0,38758.0,56364.0,45815.0,23609.0,42822.0,18691.0,16923.0,392069,BISC
448,1996,15559,33944.0,29533.0,34283.0,39794.0,34949.0,46604.0,31433.0,25064.0,12277.0,11521.0,23642.0,338603,BISC
449,1995,33090,38887.0,49164.0,65177.0,68812.0,52711.0,71376.0,67551.0,47644.0,42368.0,24827.0,22912.0,584519,BISC
450,1994,2312,3382.0,3367.0,1910.0,1917.0,1663.0,1916.0,1582.0,1309.0,1490.0,1336.0,2963.0,25147,BISC
451,1993,1836,2387.0,2861.0,1912.0,2138.0,1139.0,1683.0,1844.0,974.0,815.0,1184.0,1177.0,19950,BISC
452,1992,32132,33063.0,45657.0,36686.0,61321.0,38124.0,60529.0,0.0,0.0,0.0,0.0,0.0,307512,BISC
453,1991,40727,38016.0,44630.0,54609.0,48719.0,49489.0,41968.0,47994.0,36990.0,25012.0,26657.0,33323.0,488134,BISC
454,1990,59120,52818.0,54672.0,49205.0,45930.0,43176.0,47647.0,43951.0,49400.0,45381.0,43920.0,38156.0,573376,BISC
455,1989,58478,47583.0,63844.0,52367.0,55213.0,42573.0,60472.0,41571.0,45275.0,39463.0,36633.0,46485.0,589957,BISC
456,1988,44482,41064.0,41007.0,55793.0,45276.0,46593.0,63924.0,38451.0,39186.0,38337.0,32960.0,43963.0,531036,BISC
457,1987,50378,49714.0,54307.0,58247.0,55346.0,59204.0,63423.0,70386.0,50528.0,33514.0,23074.0,39847.0,607968,BISC
458,1986,42296,52899.0,29313.0,56388.0,55633.0,48757.0,62417.0,65565.0,48055.0,44956.0,38358.0,33376.0,578013,BISC
459,1985,29720,38576.0,45180.0,31041.0,27010.0,51590.0,45832.0,62631.0,28401.0,32555.0,34975.0,33410.0,460921,BISC
460,1984,24320,30555.0,29163.0,32301.0,27000.0,32917.0,38562.0,35796.0,17334.0,23708.0,17771.0,31140.0,340567,BISC
461,1983,33905,22953.0,25847.0,25100.0,43194.0,24855.0,41397.0,31134.0,25408.0,53027.0,21299.0,20963.0,369082,BISC
462,1982,24660,26793.0,31776.0,23629.0,28506.0,26400.0,40160.0,34391.0,25345.0,42272.0,23722.0,20565.0,348219,BISC
463,1981,15537,19828.0,22080.0,25652.0,35701.0,23785.0,33116.0,25406.0,21930.0,43507.0,20575.0,18385.0,305502,BISC
464,1980,23008,16373.0,17582.0,22600.0,24102.0,25117.0,27412.0,26232.0,17871.0,17835.0,17704.0,12235.0,248071,BISC
465,1979,10216,13979.0,17010.0,19773.0,23505.0,19107.0,22740.0,21110.0,10129.0,13936.0,13029.0,18404.0,202938,BISC
466,2019,7000,10910.0,17121.0,15408.0,28786.0,13282.0,10936.0,11028.0,8312.0,13902.0,11765.0,10995.0,159445,CONG
467,2018,7186,11166.0,21238.0,14186.0,22489.0,13120.0,10544.0,12348.0,5675.0,8870.0,9691.0,9416.0,145929,CONG
468,2017,7458,13388.0,21778.0,18696.0,18947.0,14104.0,10278.0,13638.0,7821.0,11712.0,13307.0,8468.0,159595,CONG
469,2016,6850,6556.0,19387.0,14227.0,16201.0,13592.0,8229.0,11052.0,11646.0,12749.0,10792.0,12562.0,143843,CONG
470,2015,3435,6068.0,11150.0,10804.0,10988.0,7964.0,8640.0,4946.0,3880.0,4158.0,8935.0,6545.0,87513,CONG
471,2014,7994,7710.0,12177.0,16771.0,9351.0,9408.0,7909.0,9751.0,9756.0,11901.0,10325.0,7069.0,120122,CONG
472,2013,10098,6197.0,12453.0,14120.0,12612.0,11977.0,11859.0,8064.0,8220.0,6794.0,11044.0,6902.0,120340,CONG
473,2012,8132,6641.0,11524.0,11967.0,14102.0,6388.0,8362.0,7088.0,8501.0,11004.0,9470.0,6506.0,109685,CONG
474,2011,6657,8621.0,12582.0,11277.0,11215.0,11689.0,3233.0,11117.0,15493.0,11676.0,9825.0,6781.0,120166,CONG
475,2010,5241,17022.0,21712.0,3936.0,9081.0,9992.0,10169.0,6829.0,7187.0,13568.0,11640.0,4831.0,121208,CONG
476,2009,4982,9081.0,11524.0,13695.0,20902.0,7011.0,9052.0,7381.0,11086.0,11511.0,10762.0,5983.0,122970,CONG
477,2008,6444,13877.0,12122.0,11080.0,11671.0,6699.0,3749.0,7282.0,8941.0,7295.0,8327.0,7426.0,104913,CONG
478,2007,6538,6522.0,13128.0,12783.0,11094.0,8026.0,14914.0,12167.0,8735.0,7403.0,8235.0,5979.0,115524,CONG
479,2006,7511,4133.0,16025.0,17130.0,12478.0,13449.0,9713.0,6590.0,10002.0,14352.0,11804.0,10858.0,134045,CONG
480,2005,5120,5534.0,12560.0,9524.0,8780.0,4567.0,4609.0,5135.0,6537.0,10642.0,5974.0,5319.0,84301,CONG
481,2004,7344,11462.0,12786.0,14541.0,11132.0,4586.0,10888.0,8578.0,9601.0,13532.0,13881.0,7916.0,126247,CONG
482,2003,6602,7207.0,15321.0,10013.0,10020.0,6942.0,6786.0,8109.0,5325.0,10588.0,12702.0,7499.0,107114,CONG
483,2002,6713,9415.0,11248.0,11462.0,11382.0,9372.0,7300.0,6125.0,6727.0,6809.0,10777.0,4290.0,101620,CONG
484,2001,6256,8316.0,11490.0,15294.0,11680.0,9171.0,8594.0,7196.0,11301.0,12306.0,10600.0,7534.0,119738,CONG
485,2000,4205,7165.0,11575.0,10525.0,11598.0,8581.0,6951.0,6136.0,8793.0,8521.0,8238.0,3331.0,95619,CONG
486,1999,6645,7639.0,8311.0,10524.0,8290.0,6963.0,4930.0,4144.0,6324.0,5370.0,7404.0,5679.0,82223,CONG
487,1998,5500,5683.0,6045.0,9256.0,8295.0,6529.0,8531.0,6300.0,9829.0,12788.0,8574.0,6395.0,93725,CONG
488,1997,4928,4170.0,8346.0,4075.0,9181.0,6490.0,6003.0,3976.0,4791.0,8925.0,5968.0,3863.0,70716,CONG
489,1996,3173,5346.0,7619.0,9566.0,6110.0,4821.0,4310.0,4996.0,4779.0,4571.0,3790.0,3533.0,62614,CONG
490,1995,2453,4028.0,10178.0,8793.0,7113.0,6721.0,4961.0,5251.0,6004.0,5891.0,2096.0,4460.0,67949,CONG
491,1994,1913,4070.0,8510.0,8746.0,7525.0,4199.0,6359.0,6288.0,6373.0,4619.0,4946.0,4208.0,67756,CONG
492,1993,3101,3293.0,3669.0,7946.0,7120.0,4811.0,4695.0,3945.0,4801.0,4803.0,4200.0,2285.0,54669,CONG
493,1992,2730,3093.0,4342.0,5164.0,5882.0,2976.0,2865.0,2247.0,2477.0,2981.0,3392.0,1869.0,40018,CONG
494,1991,1205,1562.0,2981.0,3323.0,2548.0,2612.0,1765.0,1512.0,2813.0,5083.0,3555.0,2016.0,30975,CONG
495,1990,1203,1447.0,2110.0,3374.0,2633.0,2078.0,1767.0,1188.0,1816.0,1582.0,2721.0,1304.0,23223,CONG
496,1989,1409,1613.0,3630.0,4194.0,3210.0,2417.0,1767.0,1500.0,1232.0,1745.0,1988.0,740.0,25445,CONG
497,1988,1144,1501.0,2598.0,4250.0,3659.0,1872.0,1900.0,1238.0,1510.0,2389.0,2786.0,1410.0,26257,CONG
498,1987,1056,907.0,2383.0,3022.0,2621.0,1422.0,1217.0,1026.0,1093.0,2088.0,2327.0,1150.0,20312,CONG
499,1986,764,1277.0,2519.0,1889.0,1296.0,965.0,647.0,825.0,805.0,1658.0,2800.0,1063.0,16508,CONG
500,1985,531,740.0,1888.0,1795.0,1404.0,844.0,836.0,688.0,779.0,926.0,1171.0,730.0,12332,CONG
501,2019,116746,111665.0,173610.0,297207.0,393004.0,496625.0,717462.0,703153.0,584664.0,448939.0,230598.0,149188.0,4422861,YOSE
502,2018,129432,143321.0,170681.0,278349.0,385670.0,543690.0,504230.0,441867.0,524387.0,360776.0,215854.0,311179.0,4009436,YOSE
503,2017,120025,119421.0,166793.0,302553.0,471844.0,565702.0,633351.0,615892.0,566279.0,429827.0,217927.0,127276.0,4336890,YOSE
504,2016,139780,201601.0,286990.0,305092.0,457309.0,703614.0,780728.0,692450.0,598428.0,483232.0,218998.0,160646.0,5028868,YOSE
505,2015,128318,135316.0,194667.0,281328.0,408121.0,545231.0,626009.0,636936.0,527402.0,357223.0,169425.0,140241.0,4150217,YOSE
506,2014,112133,113403.0,146750.0,242722.0,333308.0,496363.0,623663.0,654157.0,467205.0,354769.0,203678.0,134491.0,3882642,YOSE
507,2013,103910,114440.0,165409.0,231178.0,370422.0,508941.0,611538.0,552137.0,460855.0,279526.0,161356.0,131479.0,3691191,YOSE
508,2012,120496,113341.0,136687.0,243102.0,356500.0,528186.0,623101.0,660118.0,482004.0,322687.0,141868.0,125314.0,3853404,YOSE
509,2011,100718,93588.0,100433.0,231372.0,356588.0,503741.0,704553.0,699749.0,533502.0,360449.0,139079.0,127621.0,3951393,YOSE
510,2010,96089,100379.0,149651.0,224461.0,382414.0,521059.0,643566.0,659857.0,520210.0,356370.0,148459.0,98893.0,3901408,YOSE
511,2009,101984,78795.0,132711.0,230828.0,399683.0,483382.0,586591.0,643300.0,471530.0,346826.0,151297.0,110545.0,3737472,YOSE
512,2008,95124,107729.0,153735.0,199592.0,361193.0,473186.0,539874.0,543799.0,416918.0,295547.0,146838.0,97979.0,3431514,YOSE
513,2007,99892,100941.0,135925.0,219854.0,374184.0,466054.0,543235.0,550172.0,417882.0,298122.0,178846.0,118321.0,3503428,YOSE
514,2006,104591,101194.0,125556.0,189472.0,309387.0,382972.0,510932.0,528254.0,421502.0,298771.0,165499.0,104514.0,3242644,YOSE
515,2005,91238,103756.0,143335.0,195385.0,304552.0,413124.0,554567.0,485643.0,430134.0,318508.0,152671.0,111231.0,3304144,YOSE
516,2004,100020,106258.0,146876.0,228212.0,326017.0,449566.0,531864.0,508094.0,393437.0,272200.0,121622.0,96745.0,3280911,YOSE
517,2003,116984,111506.0,137550.0,174337.0,280335.0,445887.0,536683.0,604093.0,405605.0,316366.0,136390.0,112928.0,3378664,YOSE
518,2002,108906,113695.0,141766.0,186682.0,295511.0,436862.0,513789.0,570914.0,426684.0,300919.0,149828.0,116311.0,3361867,YOSE
519,2001,102455,101897.0,142141.0,192936.0,315897.0,434014.0,528849.0,591196.0,448519.0,264465.0,137876.0,108486.0,3368731,YOSE
520,2000,93633,103444.0,136523.0,216087.0,317009.0,454638.0,548440.0,546981.0,388707.0,324484.0,144958.0,125999.0,3400903,YOSE
521,1999,100857,102345.0,136795.0,169517.0,335374.0,448560.0,558114.0,625405.0,433178.0,330334.0,150843.0,102285.0,3493607,YOSE
522,1998,114143,109163.0,157257.0,231495.0,307331.0,345916.0,603790.0,672966.0,480941.0,384428.0,142002.0,107700.0,3657132,YOSE
523,1997,12520,64201.0,136476.0,200212.0,319108.0,460459.0,595059.0,697060.0,516567.0,372171.0,168533.0,127604.0,3669970,YOSE
524,1996,104086,135115.0,180709.0,253532.0,347364.0,527284.0,622855.0,679862.0,517934.0,365313.0,172037.0,140116.0,4046207,YOSE
525,1995,123844,151102.0,124710.0,250592.0,279575.0,449511.0,663052.0,656064.0,551886.0,409319.0,210295.0,88456.0,3958406,YOSE
526,1994,131216,127303.0,186008.0,247425.0,384114.0,495097.0,585940.0,666555.0,511954.0,336448.0,146675.0,143382.0,3962117,YOSE
527,1993,101503,105315.0,151472.0,246136.0,378548.0,446235.0,604248.0,634588.0,503629.0,368978.0,171108.0,127885.0,3839645,YOSE
528,1992,126603,120908.0,149651.0,251872.0,425555.0,486890.0,568070.0,586868.0,470798.0,356333.0,163364.0,112606.0,3819518,YOSE
529,1991,104673,111073.0,117735.0,187607.0,354908.0,396841.0,521822.0,587904.0,441553.0,320769.0,164072.0,114144.0,3423101,YOSE
530,1990,99686,101236.0,145037.0,237815.0,364549.0,424933.0,482066.0,367502.0,364838.0,276025.0,162254.0,98998.0,3124939,YOSE
531,1989,102646,96527.0,143858.0,204102.0,377940.0,413068.0,511957.0,524395.0,390364.0,264670.0,163939.0,114693.0,3308159,YOSE
532,1988,94583,109552.0,153436.0,190484.0,362008.0,404321.0,477167.0,502674.0,385509.0,292886.0,144254.0,99807.0,3216681,YOSE
533,1987,94639,98799.0,109617.0,192048.0,373894.0,419479.0,487915.0,526850.0,328866.0,281719.0,146909.0,91540.0,3152275,YOSE
534,1986,92835,74133.0,114441.0,152019.0,291811.0,362173.0,439823.0,522908.0,340843.0,245733.0,151081.0,88917.0,2876717,YOSE
535,1985,84266,86738.0,101035.0,158974.0,314386.0,375841.0,447936.0,498319.0,344277.0,230095.0,105532.0,84553.0,2831952,YOSE
536,1984,75894,83589.0,102049.0,147755.0,276877.0,363876.0,414711.0,494860.0,370899.0,217730.0,101528.0,88699.0,2738467,YOSE
537,1983,64748,64554.0,85104.0,90376.0,214870.0,266832.0,441436.0,473638.0,350841.0,242778.0,87561.0,74726.0,2457464,YOSE
538,1982,60817,68307.0,70702.0,73259.0,254169.0,363303.0,425198.0,432776.0,303673.0,206821.0,85193.0,71369.0,2415587,YOSE
539,1981,60669,90274.0,83104.0,152469.0,282531.0,337392.0,404269.0,438123.0,313946.0,190612.0,95862.0,67642.0,2516893,YOSE
540,1980,66677,75612.0,99896.0,120970.0,212971.0,309470.0,416583.0,470491.0,289108.0,238586.0,118024.0,71894.0,2490282,YOSE
541,1979,72701,72926.0,87950.0,136275.0,210756.0,301727.0,379640.0,427454.0,293424.0,193825.0,99485.0,74619.0,2350782,YOSE
542,2019,53523,83666.0,93074.0,87763.0,85159.0,85338.0,86267.0,84618.0,98856.0,73204.0,72075.0,90851.0,994394,HALE
543,2018,97098,89499.0,89853.0,93034.0,104022.0,102600.0,123871.0,83129.0,69877.0,52879.0,52581.0,85641.0,1044084,HALE
544,2017,105951,86467.0,101252.0,91200.0,105664.0,101215.0,106569.0,104603.0,95214.0,53030.0,52971.0,108254.0,1112390,HALE
545,2016,107269,101804.0,108907.0,99227.0,111482.0,108549.0,107644.0,116376.0,100997.0,109571.0,98511.0,93221.0,1263558,HALE
546,2015,94741,87335.0,100985.0,98444.0,106655.0,107933.0,114193.0,105682.0,102845.0,99116.0,94726.0,104117.0,1216772,HALE
547,2014,90299,84262.0,93803.0,93199.0,90016.0,103977.0,105419.0,98458.0,92327.0,97832.0,90380.0,102068.0,1142040,HALE
548,2013,87198,82908.0,99538.0,65910.0,89138.0,95196.0,77348.0,24994.0,44510.0,19875.0,44507.0,54178.0,785300,HALE
549,2012,85649,84336.0,89234.0,82197.0,91890.0,89232.0,102272.0,102717.0,90383.0,97641.0,87405.0,91712.0,1094668,HALE
550,2011,74656,74289.0,84660.0,70373.0,78907.0,77327.0,83291.0,81116.0,83297.0,84262.0,80617.0,84194.0,956989,HALE
551,2010,92840,92510.0,94951.0,89196.0,94632.0,94423.0,105196.0,105189.0,98133.0,85258.0,77317.0,75961.0,1105606,HALE
552,2009,89951,87466.0,93639.0,88113.0,88255.0,94221.0,99033.0,101092.0,91915.0,96944.0,87149.0,91326.0,1109104,HALE
553,2008,104019,83102.0,107714.0,97604.0,106353.0,107207.0,105028.0,115471.0,91232.0,94421.0,88487.0,84430.0,1185068,HALE
554,2007,107402,89838.0,115461.0,106371.0,118534.0,120650.0,129311.0,148140.0,104875.0,114805.0,66799.0,100631.0,1322817,HALE
555,2006,125084,110578.0,121767.0,111260.0,117049.0,141643.0,140972.0,132075.0,118641.0,91843.0,86418.0,128738.0,1426068,HALE
556,2005,104335,110961.0,123900.0,115106.0,127941.0,122234.0,148589.0,142755.0,126691.0,120566.0,111037.0,120566.0,1474681,HALE
557,2004,108940,105048.0,124182.0,119373.0,124228.0,136021.0,142452.0,141117.0,117257.0,118301.0,108458.0,110100.0,1455477,HALE
558,2003,86899,114503.0,92657.0,110475.0,114217.0,112981.0,154724.0,154747.0,125258.0,133619.0,120345.0,124243.0,1444668,HALE
559,2002,107643,122405.0,108885.0,105015.0,123989.0,167021.0,186727.0,177692.0,87398.0,125267.0,115349.0,93689.0,1521080,HALE
560,2001,120965,128827.0,136306.0,127741.0,121161.0,118356.0,108463.0,136615.0,105230.0,111098.0,98543.0,97669.0,1410974,HALE
561,2000,112542,96505.0,143523.0,124696.0,145054.0,151832.0,156721.0,157876.0,138727.0,143335.0,124250.0,125022.0,1620083,HALE
562,1999,130966,125510.0,109356.0,138267.0,146892.0,162232.0,169669.0,174416.0,175628.0,203174.0,224092.0,202985.0,1963187,HALE
563,1998,107026,99737.0,91328.0,114344.0,123586.0,132121.0,121187.0,133780.0,151315.0,122463.0,145881.0,134074.0,1476842,HALE
564,1997,129457,121002.0,113607.0,120553.0,303376.0,169108.0,129682.0,145065.0,120890.0,118759.0,105176.0,96886.0,1673561,HALE
565,1996,111201,119625.0,129013.0,133043.0,126068.0,140642.0,152566.0,155078.0,150544.0,127845.0,109126.0,98593.0,1553344,HALE
566,1995,134380,132045.0,121886.0,140538.0,124430.0,111178.0,188267.0,157857.0,142275.0,123823.0,133322.0,84595.0,1594596,HALE
567,1994,102936,159327.0,93267.0,134951.0,100307.0,112234.0,199967.0,152979.0,133862.0,116825.0,120515.0,100159.0,1527329,HALE
568,1993,88350,152283.0,85544.0,126533.0,93713.0,106935.0,115050.0,120755.0,107335.0,121585.0,103451.0,95899.0,1317433,HALE
569,1992,58433,97447.0,96945.0,97948.0,84678.0,101009.0,92851.0,118816.0,88426.0,121630.0,118407.0,106534.0,1183124,HALE
570,1991,96206,97209.0,75111.0,100206.0,103894.0,99062.0,144494.0,111671.0,107238.0,97481.0,101680.0,94080.0,1228332,HALE
571,1990,96398,90972.0,95799.0,122876.0,102204.0,125376.0,132215.0,132383.0,114208.0,96892.0,82386.0,68892.0,1260601,HALE
572,1989,101231,84668.0,94593.0,91889.0,100488.0,122355.0,192966.0,148736.0,128549.0,117524.0,112941.0,71821.0,1367761,HALE
573,1988,86879,88159.0,118779.0,98683.0,111509.0,106235.0,144168.0,123939.0,121524.0,125375.0,105882.0,83551.0,1314683,HALE
574,1987,104251,88059.0,98194.0,82539.0,97862.0,112891.0,169025.0,145198.0,116892.0,125045.0,104298.0,89646.0,1333900,HALE
575,1986,88925,89561.0,98822.0,114062.0,102182.0,110812.0,101595.0,152720.0,120777.0,116271.0,99684.0,85808.0,1281219,HALE
576,1985,90026,69576.0,89325.0,112942.0,87405.0,95240.0,125150.0,133429.0,100346.0,94684.0,95298.0,101230.0,1194651,HALE
577,1984,59182,68515.0,100992.0,86556.0,81038.0,100806.0,112485.0,61889.0,71301.0,92161.0,91157.0,77739.0,1003821,HALE
578,1983,52328,63552.0,38656.0,59610.0,76969.0,93656.0,111059.0,100722.0,70601.0,69596.0,75102.0,52438.0,864289,HALE
579,1982,43613,53955.0,58429.0,55175.0,67328.0,68269.0,73835.0,84445.0,67180.0,70718.0,67665.0,61150.0,771762,HALE
580,1981,41335,42927.0,47694.0,50173.0,56115.0,57790.0,64074.0,73143.0,47048.0,37515.0,55807.0,58063.0,631684,HALE
581,1980,38044,51284.0,49527.0,47683.0,56408.0,54100.0,59175.0,61214.0,31100.0,37906.0,36897.0,36900.0,560238,HALE
582,1979,57239,29985.0,71282.0,54569.0,52282.0,48272.0,68685.0,85893.0,61727.0,58026.0,46150.0,39845.0,673955,HALE
583,2019,1154,11735.0,24681.0,16234.0,19398.0,19061.0,13016.0,16795.0,14165.0,14084.0,14786.0,12115.0,177224,PINN
584,2018,15909,18793.0,22351.0,25902.0,24843.0,27164.0,12797.0,15122.0,13192.0,13799.0,15851.0,16429.0,222152,PINN
585,2017,12696,13476.0,28618.0,34773.0,24776.0,20556.0,20705.0,15826.0,12781.0,15829.0,15473.0,17825.0,233334,PINN
586,2016,13054,20009.0,24605.0,27035.0,23360.0,17569.0,18818.0,16784.0,13419.0,10663.0,13980.0,16259.0,215555,PINN
587,2015,18108,17557.0,24192.0,26243.0,22618.0,16380.0,18472.0,13230.0,10757.0,12442.0,12918.0,13616.0,206533,PINN
588,2014,15750,15335.0,20755.0,26227.0,21392.0,16838.0,15620.0,15317.0,13058.0,11070.0,12165.0,13108.0,196635,PINN
589,2013,17476,17962.0,24165.0,33487.0,25714.0,22021.0,23316.0,21017.0,11120.0,14804.0,13969.0,12626.0,237677,PINN
590,2012,13206,13617.0,18340.0,25586.0,19532.0,16685.0,17682.0,15912.0,8294.0,25848.0,23022.0,26752.0,224476,PINN
591,2011,9596,28625.0,22316.0,28524.0,59878.0,33691.0,43868.0,52993.0,38294.0,25698.0,22984.0,26752.0,393219,PINN
592,2010,8594,11949.0,31234.0,46729.0,36225.0,12191.0,18589.0,27740.0,22176.0,11186.0,10486.0,9476.0,246575,PINN
593,2009,10531,9937.0,22877.0,24219.0,15938.0,11841.0,13668.0,13936.0,12659.0,10189.0,12954.0,12363.0,171112,PINN
594,2008,9246,10297.0,17836.0,30528.0,15061.0,11163.0,12077.0,14877.0,15065.0,11681.0,9846.0,9311.0,166988,PINN
595,2007,10006,11119.0,17662.0,30226.0,15504.0,11041.0,12406.0,13598.0,8144.0,13373.0,10652.0,7288.0,161019,PINN
596,2006,8008,14584.0,11086.0,31258.0,17503.0,13147.0,12172.0,12845.0,9259.0,12188.0,10016.0,6758.0,158824,PINN
597,2005,11393,10988.0,25265.0,25219.0,19579.0,13161.0,12179.0,13977.0,10772.0,11602.0,10031.0,6828.0,170994,PINN
598,2004,10153,10945.0,19529.0,21778.0,19483.0,13243.0,12731.0,12643.0,9273.0,10071.0,9923.0,7625.0,157397,PINN
599,2003,7267,10790.0,20018.0,21773.0,23291.0,11470.0,14251.0,15107.0,12213.0,8310.0,10193.0,8108.0,162791,PINN
600,2002,10126,12676.0,17606.0,25193.0,19676.0,15570.0,9980.0,16742.0,11527.0,4869.0,11360.0,6941.0,162266,PINN
601,2001,9069,7374.0,34184.0,24291.0,20065.0,14268.0,13289.0,16880.0,12903.0,9335.0,9649.0,6936.0,178243,PINN
602,2000,10667,8961.0,16152.0,24995.0,16955.0,13136.0,16089.0,12379.0,11276.0,10909.0,10109.0,10482.0,162110,PINN
603,1999,10117,9200.0,15524.0,18961.0,23587.0,16894.0,14693.0,15025.0,9201.0,10825.0,10632.0,10195.0,164854,PINN
604,1998,5421,1321.0,0.0,13804.0,9952.0,10784.0,8580.0,9657.0,9232.0,8919.0,8564.0,8405.0,94639,PINN
605,1997,8811,14761.0,23466.0,31959.0,22640.0,17467.0,9309.0,12607.0,7165.0,9127.0,7789.0,6870.0,171971,PINN
606,1996,9717,11032.0,22615.0,25650.0,20378.0,16426.0,11601.0,11420.0,9256.0,9428.0,10163.0,6779.0,164465,PINN
